rule_id,construction_type_id,scheme_ids,opening_options,material,thermal_mode,glazing_options,comfort_options,compatible_systems,recommended_logic,extra_options,ui_note,engineering_validation
W01,ct_window,sc_win_1|sc_win_2_mullion|sc_win_2_shtulp_right|sc_win_2_shtulp_left|sc_win_3|sc_win_transom,op_fixed|op_turn|op_tilt_turn|op_tilt,mat_pvc,mode_warm,gl_1ch|gl_2ch,cf_none|cf_warm|cf_quiet|cf_solar|cf_yearround|cf_safe|cf_quiet_safe|cf_crystal,sys_blitz|sys_grazio|sys_intelio80,BLITZ=доступнее; GRAZIO=рекомендуем; INTELIO80=максимум тепла/тишины,ex_mosquito|ex_sill|ex_drip|ex_slopes|ex_child_lock|ex_limiter|ex_install|ex_delivery,Обычное ПВХ-окно. Штульп требует проверки конкретной фурнитуры.,Проверить размеры каждой створки; статику; вес; фурнитуру; точную формулу стеклопакета.
W02,ct_window,sc_win_1|sc_win_2_mullion|sc_win_2_shtulp_right|sc_win_2_shtulp_left|sc_win_3|sc_win_transom,op_fixed|op_turn|op_tilt_turn|op_tilt,mat_aluminum,mode_warm,gl_1ch|gl_2ch,cf_none|cf_warm|cf_quiet|cf_solar|cf_yearround|cf_safe|cf_quiet_safe|cf_crystal,sys_s60|sys_s70,S60=универсальный; S70=для более крупных/требовательных конструкций,ex_mosquito|ex_sill|ex_drip|ex_slopes|ex_child_lock|ex_limiter|ex_install|ex_delivery,Тёплое алюминиевое окно. Штульп и фрамужная фурнитура подтверждаются изготовителем.,Проверить размеры; вес створок; узлы и фурнитуру.
W03,ct_window,sc_win_1|sc_win_2_mullion|sc_win_3|sc_win_transom,op_fixed|op_turn|op_tilt_turn|op_tilt,mat_aluminum,mode_cold,gl_single_glass|gl_1ch|gl_2ch,cf_none|cf_solar|cf_safe|cf_crystal,sys_s50,S50=холодная система без терморазрыва,ex_mosquito|ex_sill|ex_drip|ex_slopes|ex_child_lock|ex_limiter|ex_install|ex_delivery,Холодное алюминиевое окно только для зон без требований к теплоизоляции.,Проверить заполнение 4–36 мм; размеры и назначение помещения.
P01,ct_panoramic,sc_pan_fixed|sc_pan_2|sc_pan_3,op_fixed|op_turn|op_tilt_turn|op_tilt,mat_pvc,mode_warm,gl_1ch|gl_2ch,cf_none|cf_warm|cf_quiet|cf_solar|cf_yearround|cf_safe|cf_quiet_safe|cf_crystal,sys_blitz|sys_grazio|sys_intelio80,GRAZIO/INTELIO80 предпочтительнее; BLITZ только при допустимых размерах,ex_mosquito|ex_sill|ex_drip|ex_slopes|ex_child_lock|ex_limiter|ex_install|ex_delivery,Панорамное ПВХ-остекление стандартного типа.,Обязательны проверка статики; габаритов и веса.
P02,ct_panoramic,sc_pan_fixed|sc_pan_2|sc_pan_3,op_fixed|op_turn|op_tilt_turn|op_tilt,mat_aluminum,mode_warm,gl_1ch|gl_2ch,cf_none|cf_warm|cf_quiet|cf_solar|cf_yearround|cf_safe|cf_quiet_safe|cf_crystal,sys_s60|sys_s70,S70 выше для крупных проёмов; S60 для умеренных размеров,ex_mosquito|ex_sill|ex_drip|ex_slopes|ex_child_lock|ex_limiter|ex_install|ex_delivery,Тёплое панорамное алюминиевое остекление.,Обязательны статический расчёт; габариты; вес и ветровая нагрузка.
P03,ct_panoramic,sc_pan_fixed|sc_pan_2|sc_pan_3,op_fixed|op_turn|op_tilt_turn|op_tilt,mat_aluminum,mode_cold,gl_single_glass|gl_1ch|gl_2ch,cf_none|cf_solar|cf_safe|cf_crystal,sys_s50,S50=холодная панорама/витраж,ex_drip|ex_install|ex_delivery,Не предлагать для отапливаемого жилого помещения.,Проверить заполнение 4–36 мм; статику и ветровую нагрузку.
P04,ct_panoramic,sc_pan_psk,op_psk,mat_pvc,mode_warm,gl_1ch|gl_2ch,cf_none|cf_warm|cf_quiet|cf_solar|cf_yearround|cf_safe|cf_quiet_safe|cf_crystal,sys_blitz|sys_grazio|sys_intelio80,GRAZIO/INTELIO80 предпочтительнее для комфорта; BLITZ по расчёту,ex_install|ex_delivery|ex_slopes,PSK автоматически исключает обычные поворотные открывания.,Проверить допустимые размеры портала и PSK-фурнитуру.
P05,ct_panoramic,sc_pan_lift_slide,op_lift_slide,mat_aluminum,mode_warm,gl_1ch|gl_2ch,cf_none|cf_warm|cf_quiet|cf_solar|cf_yearround|cf_safe|cf_quiet_safe|cf_crystal,sys_s158,S158=единственная текущая подъёмно-сдвижная система,ex_install|ex_delivery|ex_slopes,ALUMARK S158 показывается сразу как итоговая система.,Проверить размер; массу створки до 400 кг и заполнение 10–50 мм.
B01,ct_balcony_block,sc_bb_window_left|sc_bb_window_right|sc_bb_double_window,op_fixed|op_turn|op_tilt_turn|op_tilt,mat_pvc,mode_warm,gl_1ch|gl_2ch,cf_none|cf_warm|cf_quiet|cf_solar|cf_yearround|cf_safe|cf_quiet_safe|cf_crystal,sys_blitz|sys_grazio|sys_intelio80,GRAZIO=рекомендуем; BLITZ=доступнее; INTELIO80=максимум комфорта,ex_mosquito|ex_sill|ex_drip|ex_slopes|ex_child_lock|ex_limiter|ex_install|ex_delivery,Окно настраивается отдельно; балконная дверь поворотная или поворотно-откидная.,Проверить размеры дверной и оконной частей; фурнитуру и стеклопакет.
B02,ct_balcony_block,sc_bb_window_left|sc_bb_window_right|sc_bb_double_window,op_fixed|op_turn|op_tilt_turn|op_tilt,mat_aluminum,mode_warm,gl_1ch|gl_2ch,cf_none|cf_warm|cf_quiet|cf_solar|cf_yearround|cf_safe|cf_quiet_safe|cf_crystal,sys_s60|sys_s70,S60=основной; S70=усиленный,ex_mosquito|ex_sill|ex_drip|ex_slopes|ex_child_lock|ex_limiter|ex_install|ex_delivery,Обычный тёплый алюминиевый балконный блок.,Проверить дверное заполнение; фурнитуру и размеры.
