order,block,required,selection,what_user_sees,system_behavior
0,Размеры,Да,числа,Ширина × высота + «Не знаю размеры / бесплатный замер»,Хранятся постоянно; финальная проверка после подбора системы.
1,Тип конструкции,Да,1 вариант,6 карточек типов конструкций,Фильтрует схемы.
2,Схема окна / секций,Да,1 вариант,Только схемы выбранного типа,Определяет активные/глухие секции.
3,Открывание,Да для активных секций,по 1 на активную секцию,Глухое / поворотное / поворотно-откидное / откидное / PSK / подъёмно-сдвижное,Недоступные варианты скрываются.
4,Материал,Да,1 вариант,ПВХ / алюминий,Для алюминия при необходимости появляется тёплое/холодное.
5,Стеклопакет,Да,1 вариант,Одинарное стекло (условно) / однокамерный / двухкамерный,Проверка по допустимой толщине системы.
6,Комфорт,Нет,0 или 1 пакет,Стандарт / теплее / тише / солнцезащита / круглый год / безопасность / тишина+безопасность / максимум света,Система строит подходящую формулу стеклопакета.
AUTO,Подходящие системы,Авто,до 3 карточек,Доступнее / рекомендуем / максимум,Показываются только совместимые REHAU/ALUMARK.
7,Комплектация и услуги,Нет,несколько,Сетка / подоконник / отлив / откосы / детский замок / ограничитель / монтаж / доставка,Опции фильтруются по типу и открыванию.
8,Результат,Да,—,"Итоговая конструкция, система, параметры, предварительная цена, заявка/замер",Фиксирует конфигурацию; точная цена после замера.
